title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Black Bear,3.0,104.0,2020,"Profanity, Sexual Content, Drugs, Nudity",Drama,Lawrence Michael Levine,"Aubrey Plaza, Sarah Gadon, Christopher Abbott"
Ammonite,3.5,120.0,2020,"Sexual Content, Nudity, Profanity",Drama,Francis Lee,"Kate Winslet, Saoirse Ronan, Gemma Jones, Fiona Shaw, James McArdle"
I Now Pronounce You Chuck and Larry,2.0,105.0,2007,"Profanity, Nudity",COMEDY,Dennis Dugan,"Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd, Ving Rhames, Steve Buscemi"
"Good Shepherd, The",3.5,165.0,2006,"Violence, Profanity, Sexual Situations",DRAMA/THRILLER,Robert De Niro,"Matt Damon, John Turturro Tammy Blanchard, William Hurt, Michael Gambon, Billy Crudip, Alec Baldwin, Joe Pesci, Angelina Jolie, Robert De Niro, Oleg Stefan"
Looking for Comedy in the Muslim World,2.0,95.0,2006,"Profanity, Drugs",COMEDY,Albert Brooks,"Albert Brooks, Sheetal Sheth, John Carroll Lynch, Jon Tenney, Amy Ryan"
Babylon A.D.,1.5,90.0,2008,"Violence, Profanity, Sexual Situations",SCIENCE FICTION/ACTION,Mathieu Kassovitz,"Vin Diesel, Michelle Yeoh, Mélanie Thierry, Gérard Depardieu, Charlotte Rampling, Mark Strong, Lambert Wilson"
Shine,4.0,105.0,1996,"Profanity, Nudity",DRAMA,Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl, Noah Taylor, Lynn Redgrave, Googie Withers, John Gielgud, Sonia Todd, Alex Rafalowicz, Nicholas Bell"
Michael Collins,3.5,132.0,1996,"Violence, Profanity",ADVENTURE,Neil Jordan,"Liam Neeson, Aidan Quinn, Julia Roberts, Alan Rickman, Stephen Rea, Ian Hart, Brendan Gleeson, Stuart Graham, Charles Dance"
My Name Is Joe,3.5,105.0,1999,"Profanity, Drugs, Nudity",DRAMA,Ken Loach,"Peter Mullan, Louise Goodall, David McKay, Anne-Marie Kennedy, David Hayman, Gary Lewis"
Toy Story,3.5,81.0,1995,Nothing Objectionable,ANIMATED,John Lasseter,"(voices) Tom Hanks, Tim Allen, Don Rickles, Wallace Shawn, John Ratzenberger, Jim Varney, Annie Potts"
Pleasantville,3.5,116.0,1998,"Sexual Situations, Profanity",DRAMA/COMEDY,Gary Ross,"Tobey Maguire, Reese Witherspoon, Jeff Daniels, Joan Allen, William H. Macy, J.T. Walsh, Don Knotts, Marley Shelton, Jane Kaczmarek"
"Invasion, The",2.0,99.0,2007,"Profanity, Violence",SCIENCE FICTION,Oliver Hirschbiegel,"Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond, Jeffrey Wright, Veronica Cartwright"
"Most Violent Year, A",3.0,125.0,2014,"Violence, Profanity",DRAMA/THRILLER,J.C. Chandor,"Alessandro Nivola, Albert Brooks, David Oyelowo, Oscar Isaac, Jessica Chastain, Elyes Gabel"
"Boy Next Door, The",1.0,91.0,2015,"Violence, Sexual Content, Profanity, Nudity",THRILLER,Rob Cohen,"Jennifer Lopez, John Corbett, Kristin Chenoweth, Ryan Guzman, Ian Nelson"
Mr. Turner,3.0,150.0,2014,Sexual Content,DRAMA,Mike Leigh,"Timothy Spall, Paul Jesson, Dorothy Atkinson, Marion Bailey, Ruth Sheen"
Spare Parts,2.0,113.0,2015,Profanity,DRAMA,Sean McNamara,"George Lopez, Marisa Tomei, Jamie Lee Curtis, Esai Morales, Carlos PenaVega, David Del Rio, Jose Julian, J.R. Villarreal, Alexa PenaVega"
Still Alice,3.5,101.0,2015,"Profanity, Sexual Content",DRAMA,"Richard Glatzer, Wash Westmoreland","Julianne Moore, Alec Baldwin, Kristen Stewart, Kate Bosworth, Hunter Parrish"
Blackhat,3.0,135.0,2015,"Violence, Profanity, Sexual Content",THRILLER,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang, Holt McCallany"
"Wedding Ringer, The",2.5,98.0,2015,"Profanity, Sexual Content",COMEDY,Jeremy Garelick,"Cloris Leachman, Olivia Thirlby, Ken Howard, Kevin Hart, Mimi Rogers, Josh Gad, Kaley Cuoco-Sweeting"
Taken 3,2.0,109.0,2015,"Violence, Profanity",ACTION/THRILLER,Olivier Megaton,"Liam Neeson, Famke Janssen, Forest Whitaker, Maggie Grace, Dougray Scott, Sam Spruell"
Selma,3.5,128.0,2014,"Violence, Profanity",DRAMA,Ava DuVernay,"David Oyelowo, Tom Wilkinson, Carmen Ejogo, Tim Roth, Giovanni Ribisi, Oprah Winfrey, Common, Colman Domingo"
Predestination,3.0,97.0,2015,"Violence, Profanity, Sexual Content, Nudity",SCIENCE FICTION,The Spierig Brothers,"Ethan Hawke, Sarah Snook, Noah Taylor"
Jumanji: The Next Level,2.5,122.0,2019,"Violence, Profanity",Adventure/Comedy,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black, Awkwafina, Danny DeVito, Danny Glover, Madison Iseman, Morgan Turner, Ser’Darius Blain, Alex Wolff, Colin Hanks, Nick Jonas, Rory McCann"
Marriage Story,3.0,136.0,2019,"Profanity, Sexual Content",Drama,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Ray Liotta, Alan Alda, Julie Hagerty, Azhy Robertson"
"Aeronauts, The",3.0,100.0,2019,Scenes of Peril,Adventure,Tom Harper,"Felicity Jones, Eddie Redmayne"
Frozen II,3.0,103.0,2019,,Animated,"Jennifer Lee, Chris Buck","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina"
Knives Out,3.5,130.0,2019,"Violence, Profanity",Thriller,Rian Johnson,"Daniel Craig, Katherine Langford, Christopher Plummer, Lakeith Stanfield, Toni Collette, Don Johnson, Michael Shannon, Jamie Lee Curtis, Ana de Armas, Chris Evans, Frank Oz"
"Beautiful Day in the Neighborhood, A",3.0,112.0,2019,,Drama,Marielle Heller,"Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni"
"Irishman, The",3.5,209.0,2019,"Violence, Profanity",Drama,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Bobby Cannavale, Ray Romano, Stephen Graham, Jesse Plemons, Anna Paquin, Kathrine Narducci, Aleksa Palladino, Domenick Lombardozzi"
Ford v. Ferrari,3.0,152.0,2019,Profanity,Drama,James Mangold,"Matt Damon, Tracy Letts, Ray McKinnon, Noah Jupe, JJ Field, Caitriona Balfe, Josh Lucas, Jon Bernthal, Christian Bale, Remo Girone"
Last Christmas,3.0,102.0,2019,"Profanity, Sexual Content",Comedy/Drama,Paul Feig,"Emilia Clarke, Henry Golding, Emma Thompson, Michelle Yeoh, Lydia Leonard, Boris Isakovic"
Doctor Sleep,3.0,146.0,2019,"Violence, Profanity, Nudity, Sexual Content, Drugs",Horror,Mike Flanagan,"Ewan McGregor, Kyliegh Curran, Rebecca Ferguson, Cliff Curtis, Emily Alyn Lind, Zahn McClarnon, Carl Lumbly, Jacob Tremblay"
Girlfight,3.5,110.0,2000,"Violence, Profanity, Sexual Situations",DRAMA,Karyn Kusama,"Michelle Rodriguez, Jaime Tirelli, Paul Calderon, Santiago Douglas, Ray Santiago, Elisa Bocanegra, Shannon Walker Williams"
I'll Do Anything,3.0,116.0,1994,"Profanity, Nudity",DRAMA,James L. Brooks,"Nick Nolte, Whittni Wright, Albert Brooks, Joely Richardson, Julie Kavner, Tracey Ullman"
"Signal, The",1.5,99.0,2008,"Violence, Profanity, Nudity",HORROR/COMEDY,"David Bruckner, Jacob Gentry, Dan Bush","Anessa Ramsey, Justin Welborn, AJ Bowen, Scott Poythress, Cheri Christian"
Children of Men,3.0,109.0,2006,"Violence, Profanity, Nudity, Drugs",THRILLER,Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine, Chiwetel Ejiofore, Claire-Hope Ashitey, Pam Ferris, Danny Huston, Peter Mullan"
Before the Rain,3.0,113.0,,"Violence, Nudity, Mature Themes",DRAMA,Milcho Manchevski,"Rade Serbedzija, Katrin Cartlidge, Gregoire Colin"
Like Water for Chocolate,3.0,105.0,,"Nudity, Sexual Situations, Violence",ROMANCE/DRAMA,Alfonso Arau,"Lumi Cavazos, Marco Leonardi, Regina Torne, Mario Ivan Martinez, Yareli Arizmendi"
The Englishman Who Went up a Hill but Came down a Mountain,3.0,99.0,1995,,ROMANCE/COMEDY,Christopher Monger ,"Hugh Grant, Colm Meaney, Tara Fitzgerald, Ian McNeice, Kenneth Griffith, Ian Hart, Robert Pugh"
Kill Bill (Volume 1),2.5,108.0,2003,"Violence, Profanity",ACTION/THRILLER,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, Michael Madsen, David Carradine, Sonny Chiba"
Evita,3.0,134.0,1996,Violence,MUSICAL,Alan Parker,"Madonna, Antonio Banderas, Jonathan Pryce, Jimmy Nail"
"Hottie and the Nottie, The",0.5,90.0,2008,"Profanity, Sexual Situations",ROMANTIC COMEDY,Tom Putnam,"Paris Hilton, Joel David Moore, Christine Lakin, Adam Kulbersh, The Greg Wilson, Johann Urb"
St. Vincent,3.0,103.0,2014,"Profanity, Sexual Content",DRAMA/COMEDY,Theodore Melfi,"Bill Murray, Jaeden Lieberher, Melissa McCarthy, Naomi Watts, Chris O'Dowd, Terrence Howard"
"Men, Women &amp; Children",3.0,119.0,2014,"Sexual Content, Profanity, Nudity",DRAMA,Jason Reitman,"Adam Sandler, Elena Kampouris, Ansel Elgort, Kaitlyn Dever, Olivia Crocicchia, Dean Norris, Judy Greer, Jennifer Garner, Rosemary DeWitt, Emma Thompson"
Dracula Untold,2.0,92.0,2014,"Violence, Sexual Content",HORROR/ADVENTURE,Gary Shore,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance"
Kill the Messenger,3.0,114.0,2014,"Profanity, Violence",DRAMA/THRILLER,Michael Cuesta,"Jeremy Renner, Mary Elizabeth Winstead, Rosemarie DeWitt, Oliver Platt, Paz Vega"
Pride,3.5,120.0,2014,"Profanity, Sexual Content",DRAMA,Matthew Warchus,"Bill Nighy, Imelda Staunton, Paddy Considine, Dominic West, Ben Schnetzer, George MacKay, Andrew Scott, Faye Marsay, Jessica Gunning"
"Judge, The",2.5,141.0,2014,"Profanity, Sexual Content",DRAMA,David Dobkin,"Robert Downey Jr., Robert Duvall, Billy Bob Thornton, Vincent D'Onofrio, Jeremy Strong, Vera Farmiga, Dax Shepard, Leighton Meester"
Left Behind,0.5,110.0,2014,Disaster images,THRILLER,Vic Armstrong,"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan, Lea Thompson, Jordin Sparks"
Gone Girl,3.5,145.0,2014,"Violence, Profanity, Sexual Content, Nudity",THRILLER,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Kim Dickens, Missi Pyle, Tyler Perry, Carrie Coon"
"Equalizer, The",3.0,133.0,2014,"Violence, Profanity",THRILLER,Anton Fuqua,"Denzel Washington, Marton Csokas, Chloe Grace Moretz, David Harbour, David Meunier, Melissa Leo, Bill Pullman"
"Boxtrolls, The",3.0,97.0,2014,,ANIMATED,"Graham Annable, Anthony Stacchi","(voices) Ben Kingsley, Dee Bradley Baker, Simon Pegg, Toni Collette, Tracy Morgan, Richard Ayoade, Nick Frost, Jared Harris, Elle Fanning, Isaac Hempstead Wright, Steve Blum"
Wimbledon,3.0,98.0,2004,"Profanity, Sexual Situations, Nudity",ROMANTIC COMEDY,Richard Loncraine,"Kirsten Dunst, Paul Bettany, Sam Neill, Jon Favreau, Bernard Hill, Eleanor Bron, Austin Nichols"
"Whole Ten Yards, The",1.0,99.0,2004,"Violence, Profanity, Sexual Situations, Nudity",ACTION/COMEDY,Howard Deutch,"Bruce Willis, Matthew Perry, Amanda Peet, Kevin Pollak, Natasha Henstridge, Frank Collison"
Pretty Persuasion,2.0,104.0,2005,"Profanity, Sexual Situations",COMEDY,Marcos Siega,"Evan Rachel Wood, Jaime King, Stark Sands, Danny Comden, Selma Blair, Elisabeth Harnois, Jane Krakowski, James Woods, Ron Livingston, Adi Schnall"
"Daytrippers, The",3.0,88.0,1997,"Profanity, Mature Themes",COMEDY,Greg Mattola,"Hope Davis, Pat McNamara, Anne Meara, Parker Posey, Liev Schreiber, Stanley Tucci, Campbell Scott, Marsha Gay Harden"
Brassed Off!,3.0,107.0,1997,"Profanity, Mature Themes",COMEDY/DRAMA,Mark Herman,"Pete Postlethwaite, Mary Healey, Sue Johnston, Stephen Tompkinson, Peter Martin, Philip Jackson, Jim Carter, Ewan McGregor, Tara Fitzgerald, Lill Roughley"
Outsourced,3.0,100.0,2007,"Sexual Situations, Profanity",COMEDY,John Jeffcoat,"Josh Hamilton, Ayesha Dharker, Asif Basra, Arjun Mathur, Larry Pine, Matt Smith"
Land of the Dead,2.5,93.0,2005,"Violence, Profanity, Nudity",HORROR,George A. Romero,"Simon Baker, John Leguizamo, Asia Argento, Robert Joy, Dennis Hopper, Eugene Clark"
"Dirty Shame, A",1.0,88.0,2004,"Profanity, Sexual Situations, Nudity",COMEDY,John Waters,"Tracey Ullman, Chris Isaak, Johnny Knoxville, Selma Blair, Suzanne Shepherd, Mink Stole"
"Producers, The",2.0,128.0,2005,"Profanity, Sexual Situations",MUSICAL,Susan Stroman,"Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell, Roger Bart, Gary Beach"
Apollo 13,4.0,140.0,1995,,DRAMA/THRILLER,Ron Howard,"Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinese, Ed Harris, Kathleen Quinlan"
Dr. Dolittle,1.5,85.0,1998,Profanity,COMEDY,Betty Thomas,"Eddie Murphy, Kristen Wilson, Oliver Platt, Richard Schiff, Ossie Davis, Jeffrey Tambor, Kyla Pratt, Raven-Symone"
Lawrence of Arabia,4.0,217.0,,Violence,ADVENTURE,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, Jose Ferrer, Anthony Quayle, Claude Rains"
Total Recall,2.5,113.0,,"Violence, Profanity, Sexual Situations",SCIENCE FICTION/ACTION,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Michael Ironside, Ronny Cox, Sharon Stone"
License to Wed,1.0,90.0,2007,"Sexual Situations, Profanity",COMEDY,Ken Kwapis,"Robin Williams, Mandy Moore, John Krasinski, Josh Flitter, Christine Taylor"
Time Bandits,4.0,116.0,1981,Violence,FANTASY/COMEDY,Terry Gilliam,"Craig Warnock, David Rappaport, Kenny Baker, Malcolm Dixon, Mike Edmonds, Jack Purvis, Tiny Ross, David Warner, Sean Connery, Ian Holm, John Cleese, Ralph Richardson, Peter Vaughan, Katherine Helmond, Michael Palin, Shelley Duvall"
Zoom,1.5,85.0,2006,Nothing Objectionable,COMEDY,Peter Hewitt,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin, Kevin Zegers, Kate Mara, Michael Cassidy, Ryan Newman, Rip Torn"
Quarantine,2.0,88.0,2008,"Violence, Profanity",HORROR,John Erick Dowdle,"Jennifer Carpenter, Steve Harris, Jay Hernandez, Johnathon Schaech, Columbus Short, Rade Serbedzija"
"Straight Story, The",3.5,111.0,1999,,DRAMA,David Lynch,"Richard Farnsworth, Sissy Spacek, Jennifer Edwards, Barbara E. Robertson, John Farley, Harry Dean Stanton"
Dr. Dolittle 2,2.0,82.0,2001,Profanity,COMEDY,Steve Carr,"Eddie Murphy, Kristen Wilson, Jeffrey Jones, Kevin Pollak, Raven-Symone, Kyla Pratt, the voices of Steve Zahn, Lisa Kudrow, Norm Macdonald"
El Cid,3.0,184.0,,Violence,ADVENTURE,Anthony Mann,"Charlton Heston, Sofia Loren, John Fraser, Genevieve Page, Herbert Lom"
"Incredible Hulk, The",3.0,112.0,2008,"Violence, Profanity, Sexual Situations",ACTION/ADVENTURE,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson"
Broken Wings,3.0,84.0,2004,"Profanity, Nudity, Drugs",DRAMA,Nir Bergman,"Orly Silbersatz Banai, Maya Maron, Nitai Gaviratz, Daniel Magon, Eliana Magon, Vladimir Friedman"
My Family,3.5,127.0,1995,"Violence, Profanity, Sexual Content, Nudity",DRAMA,Gregory Nava,"Jimmy Smits, Scott Bakula, Jacob Vargas, Lupe Ontiveros, Constance Marie, Esai Morales, Edward James Olmos, Jenny Gago, Eduardo Lopez Rojas, Mary Steenburgen"
Cloverfield,3.0,78.0,2008,"Violence, Profanity",ACTION/ADVENTURE,Matt Reeves,"Michael Stahl-David, Jessica Lucas, Lizzy Caplan, T.J. Miller, Mike Vogel, Odette Yustman"
Harry Potter and the Sorceror's Stone,3.0,152.0,2001,Violence,FANTASY,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Robbie Coltrane, Alan Rickman, Maggie Smith, Ian Hart, John Cleese"
Shoot 'Em Up,2.5,85.0,2007,"Violence, Profanity, Sexual Situations, Nudity",ACTION COMEDY,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci"
Pride &amp; Prejudice,3.5,130.0,2005,Nothing Objectionable,ROMANCE,Joe Wright,"Keira Knightley, Matthew MacFadyen, Donald Sutherland, Brenda Blethyn, Rosamund Pike, Simon Woods, Jena Malone, Judi Dench"
"Happening, The",1.5,90.0,2008,"Violence, Profanity",THRILLER,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley"
"Butterfly Effect, The",3.0,113.0,2004,"Violence, Profanity, Sexual Situations, Nudity",SCIENCE FICTION,"Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, William Lee Scott, Elden Henson, John Patrick Amedori, Eric Stoltz, Logan Lerman"
Hidalgo,2.5,132.0,2004,"Violence, Sexual Situations",ADVENTURE,Joe Johnston,"Viggo Mortensen, Omar Sharif, Zuleikha Robinson, Adam Alexi-Malle, Louise Lombard, Saïd Taghmaoui, Adoni Maropis"
O.J.: Made in America,4.0,467.0,2016,"Profanity, DIsturbing Images",Documentary,Ezra Edelman,"O.J. Simpson, Mark Furhman, F. Lee Bailey, Marcia Clark, Fred Goldman, Peter Hyams, Nicole Brown Simpson, Johnnie Cochran, Robert Shapiro"
Good Time,3.0,99.0,2017,"Violence, Profanity, Sexual Content, Drugs",Thriller,"Ben Safdie, Josh Safdie","Robert Pattinson, Ben Safdie, Buddy Duress, Jennifer Jason Leigh, Barkhad Abdi, Taliah Webster"
England is Mine,2.5,94.0,2017,"Profanity, Adult Themes",Drama,Mark Gill,"Jack Lowden, Jessica Brown Findlay, Jodie Comer, Peter McDonald, Simone Kirby, Katherine Pearce, Vivienne Bell"
Ghost House,2.5,100.0,2017,"Violence, Profanity, Sexual Content, Nudity, Disturbing Images",Horror,Rich Ragsdale,"James Landry Hebert, Scout Taylor-Compton, Michael S. New, Russell Geoffrey Banks, Rich Lee Gray, Mark Boone Junior"
Bushwick,2.0,94.0,2017,"Violence, Profanity",Action/Thriller,"Cary Murnion, Jonathan Milott","Dave Bautista, Brittany Snow, Angelic Zambrana"
Ingrid Goes West,3.0,97.0,2017,"Violence, Profanity, Sexual Content, Drugs",Comedy/Drama,Matt Spicer,"Aubrey Plaza, Elizabeth Olsen, O’Shea Jackson Jr., Wyatt Russell, Billy Magnussen"
6 Days,3.0,94.0,2017,"Violence, Profanity",Thriller,Toa Fraser,"Mark Strong, Jamie Bell, Abbie Cornish, Ben Turner, Toby Leach, Martin Shaw, Tim Pigott-Smith"
Shot Caller,2.5,121.0,2017,"Violence, Profanity, Brief Nudity",Thriller,Ric Roman Waugh,"Nikolaj Coster-Waldau, John Bernthal, Lake Bell, Omari Hardwick, Benjamin Bratt, Holt McCallany, Jeffrey Donovan"
"Hitman's Bodyguard, The",3.0,118.0,2017,"Violence, Profanity",Action/Comedy,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung, Salma Hayek, Joaquim de Almeida, Yuri Kolokolnikov"
Logan Lucky,3.0,119.0,2017,"Violence, Adult Content",Thriller/Comedy,Steven Soderbergh,"Channing Tatum, Hilary Swank, Seth MacFarlane, Katie Holmes, Katherine Waterston, Sebastian Stan, Riley Keough, Daniel Craig, Adam Driver, David Denham"
RRR,3.0,187.0,2022,Violence,Fantasy/Adventure,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Alia Bhatt, Olivia Morris, Shriya Saran, Ray Stevenson, Alison Doody"
"Man Called Otto, A",3.0,126.0,2023,"Profanity, Rude Behavior",Drama,Marc Forster,"Tom Hanks, Mariana Trevino, Rachel Keller, Manuel Garcia-Rulfo, Cameron Britton, Mike Birbiglia, Truman Hanks"
I Wanna Dance with Somebody,2.0,145.0,2023,"Profanity, Sexual Content",Drama/Musical,Kasi Lemmons,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie, Nafessa Williams, Clarke Peters"
Women Talking,2.5,104.0,2023,"Violence, Sexual Assault, Profanity",Drama,Sarah Polley,"Rooney Mara, Sheila McCarthy, Frances McDormand, Michelle McLeod, Liv McNeil, Kate Hallett, Judith Ivey, Jessie Buckley, Claire Foy, Ben Whishaw"
Living,3.5,102.0,2023,Adult Themes,Drama,Oliver Hermanus,"Bill Nighy, Aimee Lou Wood, Jamie Wilkes"
Babylon,3.0,188.0,2022,"Profanity, Sexual Content, Nudity, Violence, Drugs",Drama,Damien Chazelle,"Margot Robbie, Brad Pitt, Diego Calva, Jovan Adepo, Li Jun Li, Jean Smart, Lukas Haas, Eric Roberts, Tobey Maguire"
Avatar: The Way of Water,4.0,192.0,2022,"Violence, Profanity, Partial Nudity",Science Fiction,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Brendan Cowell, Jamie Flatters, Britain Dalton, Trinity Jo-Li Bliss, Jack Champion, Bailey Bass"
Guillermo Del Toro's Pinocchio,3.0,117.0,2022,,Animated,"Guillermo del Toro, Mark Gustafson","Gregory Mann, Ewan McGregor, David Bradley, Burn Gorman, Ron Perlman, John Turturro, Finn Wolfhard, Cate Blanchett, Tim Blake Nelson, Christoph Waltz, Tilda Swinton"
Empire of Light,2.5,119.0,2023,"Racial Violence, Mental Illness, Profanity, Sexual Content",Drama,Sam Mendes,"Olivia Colman, Micheal Ward, Colin Firth, Toby Jones"
"Whale, The",2.0,119.0,2023,"Profanity, Sexual Content",Drama,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau, Samantha Morton"
Without Remorse,2.5,110.0,2021,"Violence, Profanity",Action/Thriller,Stefano Sollima,"Michael B. Jordan, Jodie Turner-Smith, Jamie Bell, Guy Pearce, Lauren London"
Limbo,3.0,103.0,2021,Profanity,Drama/Comedy,Ben Sharrock,"Amir El-Masry, Vikash Bhai, Kais Nashif"
Mortal Kombat,2.0,110.0,2021,"Violence, Gore, Profanity",Action/Fantasy,Simon McQuoid,"Lewis Tan, Ludi Lin, Chin Han, Hiroyuki Sanada, Tadanobu Asano, Mehcad Brooks, Joe Taslim, Josh Lawson, Jessica McNamee, Max Huang"
Street Gang,3.0,107.0,2021,,Documentary,Marily Agrelo,"Joan Ganz Cooney, Jon Stone, Jim Henson, Joe Raposo, Norman Stiles"
Together Together,3.0,90.0,2021,"Profanity, Sexual Content",Drama/Comedy,Nikole Beckwith,"Ed Helms, Patti Harrison"
Thunder Force,1.0,106.0,2021,"Profanity, Cartoon Violence",Action/Comedy,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby"
"Tunnel, The",3.0,105.0,2021,"Disaster Movie Scenes, Mild Gore",Thriller,Pal Oie,"Thorbjorn Harr, Ylva Lyng Fuglerud, Lisa Carlehed, Mikkel Bratt Silset, Peter Forde, Daniel Alexander Skadal, Per Egil Aske, Silje Breivik"
Godzilla vs. Kong,2.0,113.0,2021,Monster Mayhem,Action/Adventure,Adam Wingard,"Alexander Skarsgård, Demian Bichir, Kyle Chandler, Lance Reddick, Julian Dennison, Eiza Gonzalez, Shun Oguri, Brian Tyree Henry, Rebecca Hall, Millie Bobby Brown, Kaylee Hottle"
King Kong vs. Godzilla,2.0,97.0,,,Action/Adventure,Ishiro Honda,"Tadao Takashima, Keji Sahaka, Ichiro Arishama, Yu Fujiki, Mie Hama, Michael Keith"
Nobody,3.0,91.0,2021,"Violence, Profanity",Action/Thriller,Ilya Naishuller,"Bob Odenkirk, Alexey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon, RZA, Gage Munroe, Paisley Cadorath"
When the Game Stands Tall,2.0,115.0,2014,,DRAMA,Thomas Carter,": Jim Caviezel, Michael Chiklis, Laura Dern, Alexander Ludwig, Matthew Daddario, Clancy Brown"
Are You Here,2.5,112.0,2014,"Sexual Content, Profanity, Nudity, Drugs",DRAMA,Matthew Weiner,"Owen Wilson, Zach Galifianakis, Amy Poehler, Laura Ramsey"
If I Stay,2.5,107.0,2014,"Sexual Content, Profanity",DRAMA,R.J. Cutler,"Chloe Grace Moretz, Jamie Blackley, Mireille Enos, Joshua Leonard, Liana Liberato, Stacy Keach"
"Expendables 3, The",2.0,126.0,2014,"Violence, Profanity",ACTION,Patrick Hughes,"Sylvester Stallone, Kelsey Grammer, Terry Crews, Randy Coture, Dolph Lundgren, Wesley Snipes, Mel Gibson, Arnold Schwarzenegger, Harrison Ford, Jason Statham, Antonio Banderas"
"Giver, The",3.0,94.0,2014,Mature Themes,SCIENCE FICTION,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgard, Katie Holmes, Odeya Rush, Cameron Monaghan"
Boyhood,3.5,165.0,2014,"Profanity, Sexual Content, Drugs",DRAMA,Richard Linklater,"Patricia Arquette, Ethan Hawke, Ellar Coltrane, Elijah Smith, Lorelei Linklater"
Teenage Mutant Ninja Turtles,1.5,101.0,2014,"Violence, Profanity",ACTION/ADVENTURE,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson, Johnny Knoxville (voice), Pete Ploszek, Noel Fisher, Jeremy Howard"
Into the Storm,3.0,89.0,2014,"Profanity, Violence, Disaster Sequences",ADVENTURE,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon, Nathan Kress, Alycia Debnam Carey, Arlen Escarpeta, Jeremy Sumpter"
What If,2.5,95.0,2014,"Sexual Content, Profanity, Partial Nudity",ROMANCE/COMEDY,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver, Mackenzie Davis, Rafe Spall"
"Hundred-Foot Journey, The",3.0,122.0,2014,,DRAMA,Lasse Hallstrom,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra"
Men in Black III,1.5,101.0,2012,"Violence, Profanity",SCIENCE FICTION/COMEDY,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jermaine Clement, Emma Thompson, Michael Stuhlbarg, Alice Eve"
"Intouchables, The",3.5,112.0,2012,Profanity,DRAMA,"Olivier Nakache, Eric Toldeano","Francois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Hysteria,2.5,100.0,2012,Sexual Content,ROMANCE/COMEDY,Tanya Wexler,"Hugh Dancy, Maggie Gyllenhaal, Jonathan Pryce, Felicity Jones, Rupert Everett"
